1IB,IBC LOGISTICS CORPORATIVO ADUANAL SC
3AG,"AGENTES ADUANALES GRUPO NOGUEIRA, S.C"
3AGAP,AGENCIA ADUANAL PEÑA PERES SC
3AGE,"AGENCIAS GRUPO CSAV (MEXICO), S.A. DE C.V"
3GPO,"GRUPO SAN INTELIGENCIA ADUANAL, S. C."
3MU,"MULTISERVICIOS ADUANALES DE MANZANILLO, S. C."
3AGU,AGUNSA L. D. S. A. DE C. V.
3ALMV,ALMACENADORA DEL VALLE DE MÉXICO
4AL,"ALMACENADORA INTERN AMERICANA, S.A. DE C.V."
3ALMM,"ALMACENADORA MODELO, S. A. DE C. V."
1AM,AMERICAN PRESIDENT LINES LTD
3APO,"APOLO ZONA LIBRE, S. A."
3ASE,ASESORÍA Y LOGÍSTICA INTERNACIONAL AYLIN
1BE,BESTMOON INC
3BOR,BORDERLESS
1CHA,"CHANGXING XINGTAI TEXTILE CO., LTD"
1CHAN,CHANGXINGSO LONG TEXTILE CO
1CH,"CHANGZHOU BOSHANG TEXTILE CO., LTD"
3CI,CIBANCO S. A.
1CI,"CINI ONE KOREA CO., LTD"
3HPW,"DISEÑOS Y SERVICIOS PUBLICIRARIOS HPW, S. A. DE C. V."
1DNS,"DNS WORLD CO.,LTD"
1DONG,"DONG GUAN RUI NIAN PLASTICS TECHNOLOGY CO., LTD"
1DON,"DONGGUAN IUIU HOUSEHOLD PRODUCTS CO., LTD"
3E,ECOPEN S. A. DE C. V.
3EMO,EMOCION MODE
1EXP,EXPEED FORWARDING INC
3EXP,EXPEED FORWARDING INC
1F,FABUTEX INC
3FER,FERROVALLE
1FIN,"FINE FILA TEXTILE CO., LTD"
1GOU,"GOUXIN HOMGDA HOLDING CO., LTD"
3GCB,"GRUPO COMERCIAL BOMBASA, S. A. DE C. V."
1GRU,GRUPO EMPRESARIAL METRATON S. A. DE C. V.
3GFM,GRUPO FINANCIERO MONEX
3GIC,GRUPO INTERCAMBIO COMERCIAL S. A. DE C. V.
3GPOI,"GRUPO INTERCAMBIO COMERCIAL, S. A. DE C. V."
3GS,GRUPO SLTC S. A. DE C. V.
1GS,GSP SOLUCIONES EN COMUNICACIÓN S. A. DE C. V.
1GUAN,GUANGDONG FOREING TRADE IMP. & EXP. CORP.
3GUAN,GUANGZHOU UWIN HOUSEWARE COMPANY LIMITED
1HAN,H AND S CORPORATION
4H,HAMBURG SUD
3HAN,HAN OCEAN
1HANG,"HANGZHOU SOUTH PACIFIC IMPORT AND EXPORT CO., LTD."
1HA,HANJIN SHIPPING CO. LTD
1HANJ,HANJIN SHIPPING MEXICO SA DE CV
1HAP,HAPAG LLOYD MÉXICO S. A. DE C. C. V.
1HE,HENCO GLOBAL S. A. DE C. V.
3HI,HIER LOGISTIC GROUP S. DE R. L. DE C. V.
1HO,"HONG KONG GDTEX TRADING CO., LIMITED"
1HON,HONGKONG SUNNY TRADE AND INVESTMENT CO LTD
1IET,IMPORTADORA EL TRIUNFO S. A.
3INT,INTER ASIA TRADING LIMITED
3JFI,"J&F INTERNATIONAL TRADE CO., LIMITED"
3JIA,"JIANGSU DAHA I PLASTIC CO., LTD"
1JIAN,"JIANGSU GUO TAI INT'L GROUP HUA TAI IMP&EXP CO., LTD"
1JI,"JIANGYIN TOP SKY TEXTILES CO., LTD."
3KS,K & S ENTERPRISES LIMITED
3K,"KARLETON PVC, S.A. DE C.V."
3KE,KEtS ENTERPRISES LIMITED
3KNV,KNV LIMITED
1L,LEGHAN TRADE & LOGISTICS SERVICES S DE RL DE CV
1LO,"LOGISTICA Y MANIOBRAS MELPAG, S. A DE C. V."
1MAE,MAERSK MÉXICO S. A. DE C. V.
3MA,"MAKADI SISTEMAS PROFECIONALES EN SEGURIDAD PRIVADA, SA DE CV"
1MZL,MAYS ZONA LIBRE S. A.
1ME,MEXMA SHIPPING S.A. DE C.V.
3MEX,MEXMARINE AGENCIA S. A. DE C. V.
3MO,MOPLE LOGISTICA S. A. DE C. V.
1MULTI,MULTIENLACES DE TRANSPORTES INTERNACIONALES S. A. DE C. V.
1NA,NAVIERA DEL REM SA DE CV
3NAV,NAVIOMAR S. A. DE C. V.
3NEO,NEO INTERNATIONAL TRADING LTD
3NE,"NEWTRAL MEXICO, S.A. DE C.V."
3NIN,"NINGBO PEACEBIRD IMP. & EXP. CO., LTD."
1OR,ORIENT VICTORY TEXTILE LTD
3OSE,"OSE APEX LOGISTICS, S. A. DE C. V."
3OZ,"OZONO SALUD, S. A. DE C. V."
1PR,PROANDRE S. L.
1PRO,PROPER MANAGEMENT LIMITED
1RE,"RED ADUANAL 2000, S. A. DE C. V."
1REP,REPRESENTACIONES MARÍTIMAS S.A. DE C.V.
1RTP,"REPRESENTACIONES TRANSPACÍFICAS, S. A. DE C. V."
1RI,"RICATEX ENTERPRISE CO., LTD"
3RO,ROCKTAPE INC
1RUD,RUDONG DONGMENG TEXTILE CO LTD
3SE,SEAMASTER
1SEA,SEAMASTER LOGIS INT.
1SHANG,"SHANGHAI JINYI SELF ADHESIVE MATERIAL CO., LTD"
1SHAN,"SHANGHAI ORIENT VICTORY TEXTILE CO., LTD."
1SHAOXIN,"SHAOXIN COUNTY QINGYUAN TEXTILE AND GARMENTS CO., LTD"
1SHAO,SHAOXING BANGNIKNITTING AND TEXTILE CO. LTD.
1SHAOX,"SHAOXING COUNTY MINGCHEN IMP. & EXP. CO., LTD"
1SHAOXING,SHAOXING COUNTY WANKE TEXTILE CO LTD
1SHAOXI,"SHAOXING COUNTY XINMIAO IMPORT & EXPORT CO., LTD"
1SHA,"SHAOXING HONGXUAN IM.& EX.CO., LTD"
1SH,"SHAOXING TENWAY TEXTILE CO., LTD"
1SHAY,SHAOXING YUANLUN IMPORT AND EXPORT CO LTD
1SHAZT,SHAOXING ZHAOFENG TEXTILE CO LTD
1SHAT,SHATONSA S. A. DE C. V.
3SH,"SHOFEN COMERCIAL, S. A. DE C. V."
3TAI,"TAIZHOU JIADI SOFT PACKAGE COLOR PRINTING CO., LTD"
1TER,TERRA MULTITRANSPORTES S. A. DE C. V.
1TEXD,TEXDENIM
3TE,TEXTERIA CO. LTD.
1GEAT,TEXTILES LA CONFIANZA
2T,TOP KEEN CORPORATION LIMITED
3TR,TRANSPORTE MULTIMODAL S. A. DE C. V.
3TRANL,TRANSPORTES LEX S. DE R. L. DE C. V.
1VIG,VIGATEX CO LTD
1WE,WE TAPE INC.
1X,XIANGYI INTERNACIONAL TRADING LIMITED
1YIWU,"YIWU FOREING ECONOMIC RELATIONS & TRADE CO., LTD ZHEJIANG"
1YON,"YONGKANG WUHUAN TOOLS CO., LTD"
3ZA,"ZACH LOGISTICS, S. A. DE C. V."
3ZAM,ZAM SAN SEGURIDAD PRIVADA S. C.
1ZHE,ZHEJIAN CHANGXING JINHUI MATERIAL
1Z,"ZHEJIANG HANXIN INDUSTRY AND TRADE DEVELOPMENT CO., LTD"
1ZH,ZHEJIANG MIHUANG IMP & EXP CO LTD